z	Hz	Hrz	diff	
86.9749002618	8.42829784933e-05	8.42791153305e-05	1.47019167955e-08	
97.7009957299	7.23462473776e-05	7.23449842364e-05	1.03848797371e-08	
109.749876549	6.26738016609e-05	6.26737787082e-05	7.64807632258e-09	
123.284673944	5.46530482147e-05	5.46536329202e-05	5.79279673427e-09	
138.488637139	4.78894129774e-05	4.7890285533e-05	4.4792833669e-09	
155.567614393	4.21143894916e-05	4.21153799031e-05	3.52085980866e-09	
174.752840001	3.71369816459e-05	3.7137997226e-05	2.80589864494e-09	
196.304065004	3.28162348565e-05	3.28172249786e-05	2.26338554148e-09	
220.51307399	2.90448429318e-05	2.90457807249e-05	1.8459855308e-09	
247.707635599	2.57389304042e-05	2.57398027477e-05	1.52100389898e-09	
278.255940221	2.28314478452e-05	2.28322496773e-05	1.26523653815e-09	
